group,group_title,group_size,author,weighted_degree
G0,Contemporary American poetry,177,Billy Collins,354
G0,Contemporary American poetry,177,John Ashbery,331
G0,Contemporary American poetry,177,Adrienne Rich,275
G0,Contemporary American poetry,177,Rita Dove,272
G0,Contemporary American poetry,177,Mary Oliver,242
G0,Contemporary American poetry,177,Sharon Olds,225
G0,Contemporary American poetry,177,Charles Simic,208
G0,Contemporary American poetry,177,Galway Kinnell,202
G0,Contemporary American poetry,177,Frank O'Hara,189
G0,Contemporary American poetry,177,Yusef Komunyakaa,185
G0,Contemporary American poetry,177,Lucille Clifton,184
G0,Contemporary American poetry,177,Paul Muldoon,163
G0,Contemporary American poetry,177,Naomi Shihab Nye,148
G0,Contemporary American poetry,177,Philip Levine,146
G0,Contemporary American poetry,177,Mark Strand,137
G0,Contemporary American poetry,177,Maxine Kumin,135
G0,Contemporary American poetry,177,Robert Pinsky,129
G0,Contemporary American poetry,177,Mark Doty,121
G0,Contemporary American poetry,177,Kevin Young,110
G0,Contemporary American poetry,177,James Wright,101
G0,Contemporary American poetry,177,Robert Bly,98
G0,Contemporary American poetry,177,Edward Hirsch,91
G0,Contemporary American poetry,177,Joy Harjo,82
G0,Contemporary American poetry,177,Stephen Dunn,80
G0,Contemporary American poetry,177,Kenneth Koch,79
G0,Contemporary American poetry,177,James Tate,75
G0,Contemporary American poetry,177,Jane Hirshfield,75
G0,Contemporary American poetry,177,Jorie Graham,74
G0,Contemporary American poetry,177,Anne Carson,71
G0,Contemporary American poetry,177,Marge Piercy,71
G0,Contemporary American poetry,177,Terrance Hayes,68
G0,Contemporary American poetry,177,William Stafford,62
G0,Contemporary American poetry,177,Natasha Trethewey,61
G0,Contemporary American poetry,177,Jane Kenyon,59
G0,Contemporary American poetry,177,Denise Duhamel,52
G0,Contemporary American poetry,177,Tracy K. Smith,52
G0,Contemporary American poetry,177,Donald Hall,51
G0,Contemporary American poetry,177,Frederick Seidel,51
G0,Contemporary American poetry,177,Eileen Myles,49
G0,Contemporary American poetry,177,Robert Hass,47
G0,Contemporary American poetry,177,Charles Wright,42
G0,Contemporary American poetry,177,Dorianne Laux,42
G0,Contemporary American poetry,177,Hayden Carruth,40
G0,Contemporary American poetry,177,Tony Hoagland,40
G0,Contemporary American poetry,177,Brenda Hillman,39
G0,Contemporary American poetry,177,Dean Young,38
G0,Contemporary American poetry,177,Kay Ryan,37
G0,Contemporary American poetry,177,Li-Young Lee,35
G0,Contemporary American poetry,177,Carl Phillips,34
G0,Contemporary American poetry,177,Cole Swensen,34
G0,Contemporary American poetry,177,Heather McHugh,34
G0,Contemporary American poetry,177,David Lehman,32
G0,Contemporary American poetry,177,Nick Flynn,31
G0,Contemporary American poetry,177,Carol Muske-Dukes,30
G0,Contemporary American poetry,177,Ted Kooser,30
G0,Contemporary American poetry,177,James Schuyler,28
G0,Contemporary American poetry,177,Mary Ruefle,28
G0,Contemporary American poetry,177,Matthew Rohrer,28
G0,Contemporary American poetry,177,Joe Wenderoth,27
G0,Contemporary American poetry,177,Aimee Nezhukumatathil,26
G0,Contemporary American poetry,177,Frank Bidart,24
G0,Contemporary American poetry,177,Lynn Emanuel,24
G0,Contemporary American poetry,177,Bob Hicok,23
G0,Contemporary American poetry,177,Elizabeth Alexander,23
G0,Contemporary American poetry,177,Kim Addonizio,23
G0,Contemporary American poetry,177,Matthew Zapruder,23
G0,Contemporary American poetry,177,Amy Gerstler,22
G0,Contemporary American poetry,177,Rae Armantrout,22
G0,Contemporary American poetry,177,Alice Notley,21
G0,Contemporary American poetry,177,Joshua Beckman,21
G0,Contemporary American poetry,177,Lucia Perillo,21
G0,Contemporary American poetry,177,Peter Gizzi,21
G0,Contemporary American poetry,177,Brenda Shaughnessy,20
G0,Contemporary American poetry,177,Mark LeVine,20
G0,Contemporary American poetry,177,Noelle Kocot,20
G0,Contemporary American poetry,177,Claudia Rankine,19
G0,Contemporary American poetry,177,Molly Peacock,19
G0,Contemporary American poetry,177,William Matthews,19
G0,Contemporary American poetry,177,Catherine Bowman,18
G0,Contemporary American poetry,177,David Berman,18
G0,Contemporary American poetry,177,Ellen Bass,18
G0,Contemporary American poetry,177,Franz Wright,18
G0,Contemporary American poetry,177,Michael Collier,18
G0,Contemporary American poetry,177,Richard Howard,18
G0,Contemporary American poetry,177,Ron Padgett,17
G0,Contemporary American poetry,177,Marilyn Hacker,16
G0,Contemporary American poetry,177,Patricia Smith,16
G0,Contemporary American poetry,177,Tess Gallagher,16
G0,Contemporary American poetry,177,Brigit Pegeen Kelly,15
G0,Contemporary American poetry,177,Marie Howe,15
G0,Contemporary American poetry,177,Matthea Harvey,15
G0,Contemporary American poetry,177,Carl Dennis,14
G0,Contemporary American poetry,177,Dorothea Lasky,14
G0,Contemporary American poetry,177,Laura Kasischke,14
G0,Contemporary American poetry,177,Diane Wakoski,13
G0,Contemporary American poetry,177,Fady Joudah,13
G0,Contemporary American poetry,177,Sam Hamill,13
G0,Contemporary American poetry,177,Beth Ann Fennelly,12
G0,Contemporary American poetry,177,Campbell McGrath,12
G0,Contemporary American poetry,177,Gerald Stern,12
G0,Contemporary American poetry,177,Maurice Manning,12
G0,Contemporary American poetry,177,Russell Edson,12
G0,Contemporary American poetry,177,Andrew Hudgins,11
G0,Contemporary American poetry,177,Linda Gregg,10
G0,Contemporary American poetry,177,Lucie Brock-Broido,10
G0,Contemporary American poetry,177,Susan Stewart,10
G0,Contemporary American poetry,177,Thomas Lux,10
G0,Contemporary American poetry,177,Kimiko Hahn,9
G0,Contemporary American poetry,177,Annie Finch,8
G0,Contemporary American poetry,177,Ben Lerner,8
G0,Contemporary American poetry,177,Coleman Barks,8
G0,Contemporary American poetry,177,Dana Gioia,8
G0,Contemporary American poetry,177,Fanny Howe,8
G0,Contemporary American poetry,177,Gregory Orr,8
G0,Contemporary American poetry,177,Henri Cole,8
G0,Contemporary American poetry,177,Lynne Sharon Schwartz,8
G0,Contemporary American poetry,177,Marilyn Nelson,8
G0,Contemporary American poetry,177,Michelle Tea,8
G0,Contemporary American poetry,177,Oliver de la Paz,8
G0,Contemporary American poetry,177,Paisley Rekdal,8
G0,Contemporary American poetry,177,Sabrina Orah Mark,8
G0,Contemporary American poetry,177,Steven Heighton,8
G0,Contemporary American poetry,177,Richard Blanco,7
G0,Contemporary American poetry,177,Thomas Sayers Ellis,7
G0,Contemporary American poetry,177,C.D. Wright,6
G0,Contemporary American poetry,177,Christian Wiman,6
G0,Contemporary American poetry,177,David Kirby,6
G0,Contemporary American poetry,177,David Searcy,6
G0,Contemporary American poetry,177,Donald Revell,6
G0,Contemporary American poetry,177,Forrest Gander,6
G0,Contemporary American poetry,177,Honor Moore,6
G0,Contemporary American poetry,177,Kazim Ali,6
G0,Contemporary American poetry,177,Kevin Prufer,6
G0,Contemporary American poetry,177,Larissa Szporluk,6
G0,Contemporary American poetry,177,Larry Levis,6
G0,Contemporary American poetry,177,Philip Schultz,6
G0,Contemporary American poetry,177,Rafael Campo,6
G0,Contemporary American poetry,177,Richard Hugo,6
G0,Contemporary American poetry,177,Thalia Field,6
G0,Contemporary American poetry,177,Toi Derricotte,6
G0,Contemporary American poetry,177,Joseph Bruchac,5
G0,Contemporary American poetry,177,Lorna Dee Cervantes,5
G0,Contemporary American poetry,177,Brian Turner,4
G0,Contemporary American poetry,177,Catherine Wagner,4
G0,Contemporary American poetry,177,C.K. Williams,4
G0,Contemporary American poetry,177,Claudia Emerson,4
G0,Contemporary American poetry,177,Heather Sellers,4
G0,Contemporary American poetry,177,Jess Mowry,4
G0,Contemporary American poetry,177,Kyoko Mori,4
G0,Contemporary American poetry,177,Linda Pastan,4
G0,Contemporary American poetry,177,Major Jackson,4
G0,Contemporary American poetry,177,Meghan O'Rourke,4
G0,Contemporary American poetry,177,Rachel Cusk,4
G0,Contemporary American poetry,177,Spencer Reece,4
G0,Contemporary American poetry,177,Srikanth Reddy,4
G0,Contemporary American poetry,177,Stanley Plumly,4
G0,Contemporary American poetry,177,Marilyn Chin,3
G0,Contemporary American poetry,177,A. Van Jordan,2
G0,Contemporary American poetry,177,Ada Limon,2
G0,Contemporary American poetry,177,A.E. Stallings,2
G0,Contemporary American poetry,177,Alejandro Zambra,2
G0,Contemporary American poetry,177,B.H. Fairchild,2
G0,Contemporary American poetry,177,Cate Marvin,2
G0,Contemporary American poetry,177,David Mura,2
G0,Contemporary American poetry,177,Ellen Bryant Voigt,2
G0,Contemporary American poetry,177,Etel Adnan,2
G0,Contemporary American poetry,177,Jacqueline Kolosov,2
G0,Contemporary American poetry,177,James Longenbach,2
G0,Contemporary American poetry,177,Judith Kitchen,2
G0,Contemporary American poetry,177,Kim Stafford,2
G0,Contemporary American poetry,177,Lauren Slater,2
G0,Contemporary American poetry,177,Lynn Breedlove,2
G0,Contemporary American poetry,177,Mary Jo Bang,2
G0,Contemporary American poetry,177,Michael Weaver,2
G0,Contemporary American poetry,177,Rachel Zucker,2
G0,Contemporary American poetry,177,William Carpenter,2
G0,Contemporary American poetry,177,Zachary Schomburg,2
G1,Thriller bestsellers,158,Lee Child,504
G1,Thriller bestsellers,158,Michael Connelly,328
G1,Thriller bestsellers,158,James Rollins,287
G1,Thriller bestsellers,158,James Patterson,251
G1,Thriller bestsellers,158,Tom Clancy,201
G1,Thriller bestsellers,158,Brad Thor,189
G1,Thriller bestsellers,158,Dan Brown,183
G1,Thriller bestsellers,158,Tess Gerritsen,170
G1,Thriller bestsellers,158,Michael Crichton,161
G1,Thriller bestsellers,158,David Morrell,158
G1,Thriller bestsellers,158,John Grisham,157
G1,Thriller bestsellers,158,Vince Flynn,151
G1,Thriller bestsellers,158,Jeffery Deaver,143
G1,Thriller bestsellers,158,Harlan Coben,142
G1,Thriller bestsellers,158,Clive Cussler,134
G1,Thriller bestsellers,158,Robert Ludlum,134
G1,Thriller bestsellers,158,David Baldacci,132
G1,Thriller bestsellers,158,Steve Berry,126
G1,Thriller bestsellers,158,Lisa Gardner,119
G1,Thriller bestsellers,158,Douglas Preston,109
G1,Thriller bestsellers,158,Ian Fleming,97
G1,Thriller bestsellers,158,Heather Graham,94
G1,Thriller bestsellers,158,Patricia Cornwell,88
G1,Thriller bestsellers,158,Nelson DeMille,86
G1,Thriller bestsellers,158,Sandra Brown,77
G1,Thriller bestsellers,158,Allison Brennan,72
G1,Thriller bestsellers,158,Karin Slaughter,72
G1,Thriller bestsellers,158,Frederick Forsyth,61
G1,Thriller bestsellers,158,Linwood Barclay,57
G1,Thriller bestsellers,158,Gayle Lynds,55
G1,Thriller bestsellers,158,Joseph Finder,55
G1,Thriller bestsellers,158,Thomas Harris,53
G1,Thriller bestsellers,158,Daniel Silva,50
G1,Thriller bestsellers,158,Lisa Jackson,49
G1,Thriller bestsellers,158,Linda Fairstein,48
G1,Thriller bestsellers,158,Kathy Reichs,46
G1,Thriller bestsellers,158,Kay Hooper,45
G1,Thriller bestsellers,158,John Sandford,43
G1,Thriller bestsellers,158,Matthew Reilly,42
G1,Thriller bestsellers,158,Margaret Maron,40
G1,Thriller bestsellers,158,Robert Harris,39
G1,Thriller bestsellers,158,Scott Turow,37
G1,Thriller bestsellers,158,Jeremy Robinson,34
G1,Thriller bestsellers,158,Scott Sigler,34
G1,Thriller bestsellers,158,Stephen Coonts,34
G1,Thriller bestsellers,158,Lincoln Child,30
G1,Thriller bestsellers,158,Nick Stone,30
G1,Thriller bestsellers,158,Stieg Larsson,30
G1,Thriller bestsellers,158,Lisa Scottoline,27
G1,Thriller bestsellers,158,John Lescroart,26
G1,Thriller bestsellers,158,Len Deighton,26
G1,Thriller bestsellers,158,W.E.B. Griffin,26
G1,Thriller bestsellers,158,Robert Crais,25
G1,Thriller bestsellers,158,Jeff Long,23
G1,Thriller bestsellers,158,Jon Land,22
G1,Thriller bestsellers,158,Chris Ryan,21
G1,Thriller bestsellers,158,Sean Ellis,21
G1,Thriller bestsellers,158,Mary Magdalene,20
G1,Thriller bestsellers,158,Raymond Khoury,20
G1,Thriller bestsellers,158,Chris Kuzneski,19
G1,Thriller bestsellers,158,Lisa Unger,19
G1,Thriller bestsellers,158,Robert Masello,19
G1,Thriller bestsellers,158,Steve Alten,19
G1,Thriller bestsellers,158,C.J. Lyons,18
G1,Thriller bestsellers,158,Don Winslow,18
G1,Thriller bestsellers,158,Wendy Corsi Staub,18
G1,Thriller bestsellers,158,Ted Bell,17
G1,Thriller bestsellers,158,Andy McNab,16
G1,Thriller bestsellers,158,David Hagberg,16
G1,Thriller bestsellers,158,Joseph Nassise,15
G1,Thriller bestsellers,158,Mark Dawson,15
G1,Thriller bestsellers,158,Steve Martini,15
G1,Thriller bestsellers,158,Alistair MacLean,14
G1,Thriller bestsellers,158,J.T. Ellison,14
G1,Thriller bestsellers,158,M.J. Rose,14
G1,Thriller bestsellers,158,Paul Kemprecos,14
G1,Thriller bestsellers,158,Alex Berenson,13
G1,Thriller bestsellers,158,Robin Cook,13
G1,Thriller bestsellers,158,Craig Thomas,12
G1,Thriller bestsellers,158,Jack Higgins,12
G1,Thriller bestsellers,158,Jon Swain,12
G1,Thriller bestsellers,158,Phillip Knightley,12
G1,Thriller bestsellers,158,Scott Mariani,12
G1,Thriller bestsellers,158,Stel Pavlou,12
G1,Thriller bestsellers,158,Julia Spencer-Fleming,11
G1,Thriller bestsellers,158,Michael Koryta,11
G1,Thriller bestsellers,158,Richard Montanari,11
G1,Thriller bestsellers,158,Alex Kava,10
G1,Thriller bestsellers,158,Brad Meltzer,10
G1,Thriller bestsellers,158,Karen Rose,10
G1,Thriller bestsellers,158,Kevin O'Brien,10
G1,Thriller bestsellers,158,Otto Penzler,10
G1,Thriller bestsellers,158,David L. Golemon,9
G1,Thriller bestsellers,158,Desmond Bagley,9
G1,Thriller bestsellers,158,Henning Mankell,9
G1,Thriller bestsellers,158,James Grady,9
G1,Thriller bestsellers,158,Martha Powers,9
G1,Thriller bestsellers,158,T. Jefferson Parker,9
G1,Thriller bestsellers,158,Andrew Gross,8
G1,Thriller bestsellers,158,Gemma Halliday,8
G1,Thriller bestsellers,158,J.A. Jance,8
G1,Thriller bestsellers,158,Jefferson Bass,8
G1,Thriller bestsellers,158,Robert Dugoni,8
G1,Thriller bestsellers,158,Sean Chercover,8
G1,Thriller bestsellers,158,Tami Hoag,8
G1,Thriller bestsellers,158,Allen Wyler,6
G1,Thriller bestsellers,158,David Deutsch,6
G1,Thriller bestsellers,158,Jeff Lindsay,6
G1,Thriller bestsellers,158,John Creasey,6
G1,Thriller bestsellers,158,Jonathan Santlofer,6
G1,Thriller bestsellers,158,June Thompson,6
G1,Thriller bestsellers,158,Maggie Black,6
G1,Thriller bestsellers,158,Del Howison,5
G1,Thriller bestsellers,158,Elaine Pagels,5
G1,Thriller bestsellers,158,Jan Burke,5
G1,Thriller bestsellers,158,John Birmingham,5
G1,Thriller bestsellers,158,Leonardo da Vinci,5
G1,Thriller bestsellers,158,Sam Bourne,5
G1,Thriller bestsellers,158,Stephen Hunter,5
G1,Thriller bestsellers,158,Alafair Burke,4
G1,Thriller bestsellers,158,Andy McDermott,4
G1,Thriller bestsellers,158,James Barrington,4
G1,Thriller bestsellers,158,Joe Buff,4
G1,Thriller bestsellers,158,Lorenzo Carcaterra,4
G1,Thriller bestsellers,158,Lucy Kincaid,4
G1,Thriller bestsellers,158,Marcus Sakey,4
G1,Thriller bestsellers,158,Maxim Jakubowski,4
G1,Thriller bestsellers,158,Michael DiMercurio,4
G1,Thriller bestsellers,158,P.J. Parrish,4
G1,Thriller bestsellers,158,Sheldon Siegel,4
G1,Thriller bestsellers,158,Deon Meyer,3
G1,Thriller bestsellers,158,Roger Moore,3
G1,Thriller bestsellers,158,Tony Hawk,3
G1,Thriller bestsellers,158,Akiva Goldsman,2
G1,Thriller bestsellers,158,Alan Grant,2
G1,Thriller bestsellers,158,Albert Pike,2
G1,Thriller bestsellers,158,Barry Eisler,2
G1,Thriller bestsellers,158,Betty Mahmoody,2
G1,Thriller bestsellers,158,Charles Cumming,2
G1,Thriller bestsellers,158,Henry Lincoln,2
G1,Thriller bestsellers,158,Jack Du Brul,2
G1,Thriller bestsellers,158,James Hall,2
G1,Thriller bestsellers,158,Javier Sierra,2
G1,Thriller bestsellers,158,Jean-Yves Leloup,2
G1,Thriller bestsellers,158,Jennifer Morgan,2
G1,Thriller bestsellers,158,Kate Fox,2
G1,Thriller bestsellers,158,Kristin Harmel,2
G1,Thriller bestsellers,158,Lynda La Plante,2
G1,Thriller bestsellers,158,Michael Palmer,2
G1,Thriller bestsellers,158,Michael Prescott,2
G1,Thriller bestsellers,158,Olen Steinhauer,2
G1,Thriller bestsellers,158,Peter Benchley,2
G1,Thriller bestsellers,158,Richard Marcinko,2
G1,Thriller bestsellers,158,Robert Ferrigno,2
G1,Thriller bestsellers,158,Robert Markham,2
G1,Thriller bestsellers,158,Stephen Leather,2
G1,Thriller bestsellers,158,Ted Koppel,2
G1,Thriller bestsellers,158,William Landay,2
G2,Comics: canon & superhero,151,Neil Gaiman,618
G2,Comics: canon & superhero,151,Jack Kirby,107
G2,Comics: canon & superhero,151,Stan Lee,105
G2,Comics: canon & superhero,151,Alan Moore,103
G2,Comics: canon & superhero,151,Grant Morrison,71
G2,Comics: canon & superhero,151,Will Eisner,70
G2,Comics: canon & superhero,151,Dave Gibbons,54
G2,Comics: canon & superhero,151,Jim Lee,48
G2,Comics: canon & superhero,151,Frank Miller,47
G2,Comics: canon & superhero,151,Geoff Johns,47
G2,Comics: canon & superhero,151,Tim Sale,44
G2,Comics: canon & superhero,151,Neal Adams,41
G2,Comics: canon & superhero,151,Warren Ellis,35
G2,Comics: canon & superhero,151,Darwyn Cooke,34
G2,Comics: canon & superhero,151,Frank Frazetta,32
G2,Comics: canon & superhero,151,Jules Feiffer,32
G2,Comics: canon & superhero,151,Mike Mignola,32
G2,Comics: canon & superhero,151,Walter Simonson,31
G2,Comics: canon & superhero,151,Len Wein,29
G2,Comics: canon & superhero,151,Howard Chaykin,28
G2,Comics: canon & superhero,151,Gerry Conway,26
G2,Comics: canon & superhero,151,Joe Kubert,26
G2,Comics: canon & superhero,151,Gil Kane,23
G2,Comics: canon & superhero,151,Roy Thomas,23
G2,Comics: canon & superhero,151,Richard Corben,22
G2,Comics: canon & superhero,151,Ed Brubaker,21
G2,Comics: canon & superhero,151,Joss Whedon,21
G2,Comics: canon & superhero,151,Paul Pope,21
G2,Comics: canon & superhero,151,Phil Jimenez,21
G2,Comics: canon & superhero,151,Bill Sienkiewicz,20
G2,Comics: canon & superhero,151,Brian Bolland,20
G2,Comics: canon & superhero,151,John Buscema,20
G2,Comics: canon & superhero,151,Paul Chadwick,19
G2,Comics: canon & superhero,151,Paul Dini,19
G2,Comics: canon & superhero,151,Dave McKean,17
G2,Comics: canon & superhero,151,Harvey Kurtzman,17
G2,Comics: canon & superhero,151,Kevin Smith,16
G2,Comics: canon & superhero,151,Mark Waid,16
G2,Comics: canon & superhero,151,Scott Campbell,16
G2,Comics: canon & superhero,151,Dick Giordano,15
G2,Comics: canon & superhero,151,Jim Starlin,15
G2,Comics: canon & superhero,151,Mark Millar,15
G2,Comics: canon & superhero,151,Andrew Cosby,14
G2,Comics: canon & superhero,151,Barry Windsor-Smith,14
G2,Comics: canon & superhero,151,Jerry Ordway,14
G2,Comics: canon & superhero,151,Joe Simon,14
G2,Comics: canon & superhero,151,Marv Wolfman,14
G2,Comics: canon & superhero,151,Sam Kieth,14
G2,Comics: canon & superhero,151,Christopher Nolan,13
G2,Comics: canon & superhero,151,Chris Claremont,12
G2,Comics: canon & superhero,151,Jeff Smith,12
G2,Comics: canon & superhero,151,Jerry Siegel,12
G2,Comics: canon & superhero,151,John Byrne,12
G2,Comics: canon & superhero,151,John Rogers,12
G2,Comics: canon & superhero,151,Rick Remender,12
G2,Comics: canon & superhero,151,William Moulton Marston,12
G2,Comics: canon & superhero,151,Garth Ennis,11
G2,Comics: canon & superhero,151,Greg Rucka,11
G2,Comics: canon & superhero,151,Jason Aaron,11
G2,Comics: canon & superhero,151,Jill Thompson,11
G2,Comics: canon & superhero,151,Michael Turner,11
G2,Comics: canon & superhero,151,Robert Kanigher,11
G2,Comics: canon & superhero,151,Brian Azzarello,10
G2,Comics: canon & superhero,151,Gerard Way,10
G2,Comics: canon & superhero,151,John Broome,10
G2,Comics: canon & superhero,151,Keith Giffen,10
G2,Comics: canon & superhero,151,Matt Fraction,10
G2,Comics: canon & superhero,151,Patrick McDonnell,10
G2,Comics: canon & superhero,151,Al Feldstein,9
G2,Comics: canon & superhero,151,Charles Vess,9
G2,Comics: canon & superhero,151,Jimmy Palmiotti,9
G2,Comics: canon & superhero,151,P. Craig Russell,9
G2,Comics: canon & superhero,151,Todd McFarlane,9
G2,Comics: canon & superhero,151,Bill Finger,8
G2,Comics: canon & superhero,151,David S. Goyer,8
G2,Comics: canon & superhero,151,Gail Simone,8
G2,Comics: canon & superhero,151,J.H. Williams,8
G2,Comics: canon & superhero,151,Jim Steranko,8
G2,Comics: canon & superhero,151,Karl Kesel,8
G2,Comics: canon & superhero,151,Mark Chiarello,8
G2,Comics: canon & superhero,151,Mark Schultz,8
G2,Comics: canon & superhero,151,Mike Baron,8
G2,Comics: canon & superhero,151,Scott Morse,8
G2,Comics: canon & superhero,151,William Messner-Loebs,8
G2,Comics: canon & superhero,151,Jeph Loeb,7
G2,Comics: canon & superhero,151,Jon J. Muth,7
G2,Comics: canon & superhero,151,Mark Evanier,7
G2,Comics: canon & superhero,151,Paul Levitz,7
G2,Comics: canon & superhero,151,Peter J. Tomasi,7
G2,Comics: canon & superhero,151,Hal Foster,6
G2,Comics: canon & superhero,151,Jeff Lemire,6
G2,Comics: canon & superhero,151,Joe Quesada,6
G2,Comics: canon & superhero,151,Mike Allred,6
G2,Comics: canon & superhero,151,Osamu Tezuka,6
G2,Comics: canon & superhero,151,Steve Englehart,6
G2,Comics: canon & superhero,151,Steve Gerber,6
G2,Comics: canon & superhero,151,Alex Toth,5
G2,Comics: canon & superhero,151,Doug Moench,5
G2,Comics: canon & superhero,151,Wallace Wood,5
G2,Comics: canon & superhero,151,Audrey Niffenegger,4
G2,Comics: canon & superhero,151,Blake Bell,4
G2,Comics: canon & superhero,151,Brian Augustyn,4
G2,Comics: canon & superhero,151,Cullen Murphy,4
G2,Comics: canon & superhero,151,Eric Powell,4
G2,Comics: canon & superhero,151,Evan Dorkin,4
G2,Comics: canon & superhero,151,Fredric Wertham,4
G2,Comics: canon & superhero,151,Guy Davis,4
G2,Comics: canon & superhero,151,Jamie Delano,4
G2,Comics: canon & superhero,151,Jane Foster,4
G2,Comics: canon & superhero,151,Jim Shooter,4
G2,Comics: canon & superhero,151,John Arcudi,4
G2,Comics: canon & superhero,151,Jonathan Hickman,4
G2,Comics: canon & superhero,151,Kieron Gillen,4
G2,Comics: canon & superhero,151,Marc Silvestri,4
G2,Comics: canon & superhero,151,Milton Caniff,4
G2,Comics: canon & superhero,151,Rob Williams,4
G2,Comics: canon & superhero,151,Brian Wood,3
G2,Comics: canon & superhero,151,Jane Espenson,3
G2,Comics: canon & superhero,151,Justin Gray,3
G2,Comics: canon & superhero,151,Adam Warren,2
G2,Comics: canon & superhero,151,Amanda Palmer,2
G2,Comics: canon & superhero,151,Bob McLeod,2
G2,Comics: canon & superhero,151,Bruce Jones,2
G2,Comics: canon & superhero,151,Bryan Talbot,2
G2,Comics: canon & superhero,151,Craig Kyle,2
G2,Comics: canon & superhero,151,Dan Brereton,2
G2,Comics: canon & superhero,151,David Lapham,2
G2,Comics: canon & superhero,151,Dean Motter,2
G2,Comics: canon & superhero,151,Garry Wills,2
G2,Comics: canon & superhero,151,Gary Gianni,2
G2,Comics: canon & superhero,151,Jamie S. Rich,2
G2,Comics: canon & superhero,151,Jan Strnad,2
G2,Comics: canon & superhero,151,Jim Rugg,2
G2,Comics: canon & superhero,151,Kaori Yuki,2
G2,Comics: canon & superhero,151,Karen Page,2
G2,Comics: canon & superhero,151,Klaus Janson,2
G2,Comics: canon & superhero,151,Larry Hama,2
G2,Comics: canon & superhero,151,Louise Simonson,2
G2,Comics: canon & superhero,151,Mark Verheiden,2
G2,Comics: canon & superhero,151,Michael Alan Nelson,2
G2,Comics: canon & superhero,151,Mike Collins,2
G2,Comics: canon & superhero,151,Mike Grell,2
G2,Comics: canon & superhero,151,Rick Veitch,2
G2,Comics: canon & superhero,151,Robert Kirkman,2
G2,Comics: canon & superhero,151,Sean Murphy,2
G2,Comics: canon & superhero,151,Simon Fraser,2
G2,Comics: canon & superhero,151,Stan Sakai,2
G2,Comics: canon & superhero,151,Steve Parkhouse,2
G2,Comics: canon & superhero,151,Terry Austin,2
G2,Comics: canon & superhero,151,Terry Moore,2
G2,Comics: canon & superhero,151,W. Haden Blackman,2
G3,Christianity,139,Thomas Aquinas,102
G3,Christianity,139,Thomas Merton,83
G3,Christianity,139,Jonathan Edwards,82
G3,Christianity,139,Francis of Assisi,79
G3,Christianity,139,Billy Graham,75
G3,Christianity,139,Simone Weil,74
G3,Christianity,139,John Wesley,64
G3,Christianity,139,John Calvin,62
G3,Christianity,139,Pope John Paul II,55
G3,Christianity,139,Karl Barth,50
G3,Christianity,139,John of the Cross,49
G3,Christianity,139,Charles Spurgeon,44
G3,Christianity,139,Julian of Norwich,43
G3,Christianity,139,Dietrich Bonhoeffer,39
G3,Christianity,139,Dorothy Day,38
G3,Christianity,139,John Piper,38
G3,Christianity,139,Max Lucado,35
G3,Christianity,139,Catherine of Siena,34
G3,Christianity,139,Johann Sebastian Bach,34
G3,Christianity,139,Benedict XVI,33
G3,Christianity,139,William Wilberforce,32
G3,Christianity,139,Blaise Pascal,30
G3,Christianity,139,Hildegard of Bingen,30
G3,Christianity,139,John Bunyan,28
G3,Christianity,139,Meister Eckhart,26
G3,Christianity,139,Aleksandr Solzhenitsyn,25
G3,Christianity,139,Ravi Zacharias,22
G3,Christianity,139,John Chrysostom,21
G3,Christianity,139,Kahlil Gibran,20
G3,Christianity,139,Gladys Aylward,18
G3,Christianity,139,Mark Dever,16
G3,Christianity,139,William Carey,16
G3,Christianity,139,Edith Stein,15
G3,Christianity,139,Antonio Machado,14
G3,Christianity,139,Basil the Great,14
G3,Christianity,139,John Owen,14
G3,Christianity,139,Joni Eareckson Tada,14
G3,Christianity,139,Matthew Henry,14
G3,Christianity,139,Randy Alcorn,14
G3,Christianity,139,Augustine of Hippo,13
G3,Christianity,139,Ignatius of Loyola,13
G3,Christianity,139,Margery Kempe,13
G3,Christianity,139,Miguel de Unamuno,13
G3,Christianity,139,Richard Baxter,13
G3,Christianity,139,Justin Martyr,12
G3,Christianity,139,Reinhold Niebuhr,12
G3,Christianity,139,William Lane Craig,11
G3,Christianity,139,Amy Carmichael,10
G3,Christianity,139,Gregory of Nyssa,10
G3,Christianity,139,Josh McDowell,10
G3,Christianity,139,Kevin DeYoung,10
G3,Christianity,139,Rick Warren,10
G3,Christianity,139,Alvin Plantinga,9
G3,Christianity,139,Anne Graham Lotz,9
G3,Christianity,139,Cyril of Alexandria,9
G3,Christianity,139,Francis Chan,9
G3,Christianity,139,Alice McDermott,8
G3,Christianity,139,Bernard of Clairvaux,8
G3,Christianity,139,Corrie ten Boom,8
G3,Christianity,139,Isobel Kuhn,8
G3,Christianity,139,Jackie Pullinger,8
G3,Christianity,139,Justin Taylor,8
G3,Christianity,139,Lee Strobel,8
G3,Christianity,139,Oswald Chambers,8
G3,Christianity,139,A.W. Tozer,7
G3,Christianity,139,Eric Liddell,7
G3,Christianity,139,Evelyn Underhill,7
G3,Christianity,139,Karl Rahner,7
G3,Christianity,139,Antony Flew,6
G3,Christianity,139,Bill Hybels,6
G3,Christianity,139,Daniel Berrigan,6
G3,Christianity,139,Gregory of Nazianzus,6
